scale,model,split,kernel_family,target,smape,r2,rmse,n_samples,inference_seconds_per_sample
200,logistic_hurdle_rbf_expected_graph,test,conv1d,cycles_max,34.17399978637695,0.875217080116272,53307.05859375,24,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,conv1d,interval_max,35.74094009399414,0.8595169186592102,56560.9765625,24,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,conv2d,lut,19.080280303955078,0.8101581335067749,8723.5732421875,13,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,conv2d,ff,19.35202407836914,0.6445615291595459,35417.45703125,13,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,conv2d,dsp,30.519655227661133,0.7191269397735596,1.0832133293151855,13,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,conv2d,bram,30.3904972076416,0.5720561742782593,12.740330696105957,13,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,conv2d,cycles_max,62.776004791259766,0.5776315331459045,1177979.625,13,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,conv2d,interval_max,63.213260650634766,0.4921126365661621,1291911.625,13,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,dense_latency,lut,14.969500541687012,0.884867787361145,39565.51171875,42,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,dense_latency,ff,16.603853225708008,0.9444268941879272,29088.427734375,42,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,dense_latency,dsp,53.86789321899414,0.8714051842689514,771.4431762695312,42,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,dense_latency,bram,0.35492080450057983,-2902.456787109375,0.0028707017190754414,42,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,dense_latency,cycles_max,22.41864585876465,0.8973067402839661,52.21315383911133,42,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,dense_latency,interval_max,25.31728172302246,0.8932086825370789,9.390777587890625,42,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,dense_resource,lut,11.09997272491455,0.9731835126876831,27835.177734375,34,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,dense_resource,ff,8.37587833404541,0.9707528352737427,9411.16796875,34,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,dense_resource,dsp,43.88050079345703,0.8841971158981323,470.5892028808594,34,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,dense_resource,bram,8.76126766204834,0.9765419363975525,1.4205644130706787,34,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,dense_resource,cycles_max,10.895060539245605,0.9659296274185181,464.4320068359375,34,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,dense_resource,interval_max,19.9420108795166,0.9348995685577393,90.04989624023438,34,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,rule4ml,lut,54.40919494628906,0.5992789268493652,78207.234375,59,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,rule4ml,ff,77.05496215820312,0.5717753171920776,29593.0078125,59,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,rule4ml,dsp,54.931800842285156,0.14280986785888672,832.5215454101562,59,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,rule4ml,bram,56.641597747802734,0.4451788067817688,38.20102310180664,59,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,rule4ml,cycles_max,62.395835876464844,0.1060900092124939,437.6220397949219,59,0.001971026253599257
200,logistic_hurdle_rbf_expected_graph,test,rule4ml,interval_max,75.03585052490234,0.2087411880493164,68.4457778930664,59,0.001971026253599257
